listing_name,description,bed_type,listing_link,nightly_price,total_price,available_date,rating,nb_reviews,start_date,end_date,Day_1,Day_2,Day_3,Day_4,Day_5
Home in Rosewood,Matthias & Nike's place -Your cozy place from home,Sep. 1 – 6,www.airbnb.ca/rooms/48031498?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692671788_2oBmHB%2Baol9oUvsF&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,71,357,2023-09-01 - 2023-09-6,4.87,69.0,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Saskatoon,The Underground Cabin - Legal and licensed,1 queen bed,www.airbnb.ca/rooms/46831037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692671788_S66MZCqMMuyUo1rB&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,83,413,2023-10-09 - 2023-10-14,4.89,90.0,2023-10-09,2023-10-14,0,0,0,0,0
Townhouse in Saskatoon,River Front 3 Bedroom Townhome- Renovated,3 beds,www.airbnb.ca/rooms/53550018?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-10&check_out=2023-10-16&source_impression_id=p3_1692671788_B5aurATonsdnziGu&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,178,"1,066",2023-10-10 - 2023-10-16,4.97,97.0,2023-10-10,2023-10-16,0,0,0,0,0
Home in Saskatoon,theCABIN - Riverfront - In the heart of the City,4 beds,www.airbnb.ca/rooms/805142876182775078?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692671788_bFAngiOAfkMihuZp&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,318,318,2023-09-03 - 2023-09-8,4.94,34.0,2023-09-03,2023-09-08,0,0,0,0,0
Apartment in Saskatoon,"Stylish, Modern Downtown One-bedroom Suite",1 queen bed,www.airbnb.ca/rooms/16016495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-02&check_out=2023-10-09&source_impression_id=p3_1692671788_sO25hCfqR8Lx5Gsh&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,123,123,2023-10-02 - 2023-10-9,4.88,230.0,2023-10-02,2023-10-09,0,0,0,0,0
Room in Saskatoon,The Little Big House - Room #3,Stay with David,www.airbnb.ca/rooms/46793425?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1121528687&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692671788_syUrqXMli%2BDB6iFp&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,39,270,2023-09-01 - 2023-09-8,4.6,62.0,2023-09-01,2023-09-08,0,0,0,0,0
Home in Saskatoon,Bi-Level Suite in Saskatoon,3 beds,www.airbnb.ca/rooms/945584678478880074?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692671788_lmhM1A0tJFXiMjlQ&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,133,663,2023-09-01 - 2023-09-6,,,2023-09-01,2023-09-06,0,0,0,0,0
Home in Saskatoon,Cozy sunshine filled Home away from home,1 bed,www.airbnb.ca/rooms/52113660?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-22&source_impression_id=p3_1692671788_fURA1eOKkGEGxaqC&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,69,482,2023-10-15 - 2023-10-22,4.67,27.0,2023-10-15,2023-10-22,0,0,0,0,0
Home in Saskatoon,Welcome to our warm and big house,5 beds,www.airbnb.ca/rooms/961084999428887577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692671788_csnW012MAs2Wbq0m&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,548,548,2023-09-01 - 2023-09-6,,,2023-09-01,2023-09-06,0,0,0,0,0
Home in Saskatoon,Chairo’s Haven,4 beds,www.airbnb.ca/rooms/934332226596990795?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692671788_6fIbNkuRdgk5tOJZ&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,202,"1,009",2023-09-11 - 2023-09-16,,,2023-09-11,2023-09-16,0,0,0,0,0
Room in Saskatoon,Peaceful Hideaway in Saskatoon,Stay with Michael,www.airbnb.ca/rooms/841948309505908945?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1677478957&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692671788_6Qv9crGNCSg4CrJ3&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,57,285,2023-09-04 - 2023-09-9,5.0,15.0,2023-09-04,2023-09-09,0,0,0,0,0
Guest suite in Saskatoon,Roomy suite close to Broadway,2 double beds,www.airbnb.ca/rooms/11510064?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692671788_qSpjk1fzEfflW0Tl&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,90,451,2023-09-11 - 2023-09-16,4.9,225.0,2023-09-11,2023-09-16,0,0,0,0,0
Home in Saskatoon,New 2BR Near Airport; Perfect for Convenient Stays,2 queen beds,www.airbnb.ca/rooms/788546155974390752?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692671788_RlipSjnC8QlQ3QCN&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,126,628,2023-09-04 - 2023-09-9,4.97,111.0,2023-09-04,2023-09-09,0,0,0,0,0
Guest suite in Saskatoon,"VIP YXE’s Scandinavian Suite #UofS, RUH, Broadway",1 queen bed,www.airbnb.ca/rooms/53462491?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1692671788_E8MDCV1M1BxGENGf&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,157,787,2023-09-05 - 2023-09-10,5.0,62.0,2023-09-05,2023-09-10,0,0,0,0,0
Guest suite in Saskatoon,The Meglund Suites; Personal Retreat,1 queen bed,www.airbnb.ca/rooms/37396771?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1692671788_ywTRtolDNjwt7Irj&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,96,480,2023-09-17 - 2023-09-22,4.99,542.0,2023-09-17,2023-09-22,0,0,0,0,0
Bungalow in Saskatoon,The Meglund Suites; Modern Escape,2 beds,www.airbnb.ca/rooms/551458259192695167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692671788_z66mBU%2BD1amyXEC%2B&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,179,893,2023-09-03 - 2023-09-8,5.0,118.0,2023-09-03,2023-09-08,0,0,0,0,0
Room in Saskatoon,"Self check-in,Private bedroom in Safe Neighborhood",Stay with Emmanuel & Vanessa,www.airbnb.ca/rooms/49755778?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1177489379&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1692671788_MpU%2BixYDjqDm6P3O&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,52,262,2023-09-06 - 2023-09-11,4.78,143.0,2023-09-06,2023-09-11,0,0,0,0,0
Room in Saskatoon,Pelican,Stay with Jianxin,www.airbnb.ca/rooms/939350362498794235?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1701729591&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692671788_hEBySky8%2FSQsMiQc&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,57,287,2023-09-01 - 2023-09-6,5.0,4.0,2023-09-01,2023-09-06,0,0,0,0,0
Home in Rosewood,Matthias & Nike's place -Your cozy place from home,Sep. 1 – 6,www.airbnb.ca/rooms/48031498?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692671788_2oBmHB%2Baol9oUvsF&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,71,357,2023-09-01 - 2023-09-6,4.87,69.0,2023-09-01,2023-09-06,0,0,0,0,0
Guest suite in Saskatoon,The Underground Cabin - Legal and licensed,1 queen bed,www.airbnb.ca/rooms/46831037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-09&check_out=2023-10-14&source_impression_id=p3_1692671788_S66MZCqMMuyUo1rB&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,83,413,2023-10-09 - 2023-10-14,4.89,90.0,2023-10-09,2023-10-14,0,0,0,0,0
Townhouse in Saskatoon,River Front 3 Bedroom Townhome- Renovated,3 beds,www.airbnb.ca/rooms/53550018?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-10&check_out=2023-10-16&source_impression_id=p3_1692671788_B5aurATonsdnziGu&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,178,"1,066",2023-10-10 - 2023-10-16,4.97,97.0,2023-10-10,2023-10-16,0,0,0,0,0
Home in Saskatoon,theCABIN - Riverfront - In the heart of the City,4 beds,www.airbnb.ca/rooms/805142876182775078?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692671788_bFAngiOAfkMihuZp&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,318,318,2023-09-03 - 2023-09-8,4.94,34.0,2023-09-03,2023-09-08,0,0,0,0,0
Apartment in Saskatoon,"Stylish, Modern Downtown One-bedroom Suite",1 queen bed,www.airbnb.ca/rooms/16016495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-02&check_out=2023-10-09&source_impression_id=p3_1692671788_sO25hCfqR8Lx5Gsh&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,123,123,2023-10-02 - 2023-10-9,4.88,230.0,2023-10-02,2023-10-09,0,0,0,0,0
Room in Saskatoon,The Little Big House - Room #3,Stay with David,www.airbnb.ca/rooms/46793425?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1121528687&check_in=2023-09-01&check_out=2023-09-08&source_impression_id=p3_1692671788_syUrqXMli%2BDB6iFp&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,39,270,2023-09-01 - 2023-09-8,4.6,62.0,2023-09-01,2023-09-08,0,0,0,0,0
Home in Saskatoon,Bi-Level Suite in Saskatoon,3 beds,www.airbnb.ca/rooms/945584678478880074?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692671788_lmhM1A0tJFXiMjlQ&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,133,663,2023-09-01 - 2023-09-6,,,2023-09-01,2023-09-06,0,0,0,0,0
Home in Saskatoon,Cozy sunshine filled Home away from home,1 bed,www.airbnb.ca/rooms/52113660?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-15&check_out=2023-10-22&source_impression_id=p3_1692671788_fURA1eOKkGEGxaqC&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,69,482,2023-10-15 - 2023-10-22,4.67,27.0,2023-10-15,2023-10-22,0,0,0,0,0
Home in Saskatoon,Welcome to our warm and big house,5 beds,www.airbnb.ca/rooms/961084999428887577?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-01&check_out=2023-09-06&source_impression_id=p3_1692671788_csnW012MAs2Wbq0m&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,548,548,2023-09-01 - 2023-09-6,,,2023-09-01,2023-09-06,0,0,0,0,0
Home in Saskatoon,Chairo’s Haven,4 beds,www.airbnb.ca/rooms/934332226596990795?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692671788_6fIbNkuRdgk5tOJZ&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,202,"1,009",2023-09-11 - 2023-09-16,,,2023-09-11,2023-09-16,0,0,0,0,0
Room in Saskatoon,Peaceful Hideaway in Saskatoon,Stay with Michael,www.airbnb.ca/rooms/841948309505908945?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1677478957&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692671788_6Qv9crGNCSg4CrJ3&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,57,285,2023-09-04 - 2023-09-9,5.0,15.0,2023-09-04,2023-09-09,0,0,0,0,0
Guest suite in Saskatoon,Roomy suite close to Broadway,2 double beds,www.airbnb.ca/rooms/11510064?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1692671788_qSpjk1fzEfflW0Tl&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,90,451,2023-09-11 - 2023-09-16,4.9,225.0,2023-09-11,2023-09-16,0,0,0,0,0
Home in Saskatoon,New 2BR Near Airport; Perfect for Convenient Stays,2 queen beds,www.airbnb.ca/rooms/788546155974390752?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692671788_RlipSjnC8QlQ3QCN&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,126,628,2023-09-04 - 2023-09-9,4.97,111.0,2023-09-04,2023-09-09,0,0,0,0,0
Guest suite in Saskatoon,"VIP YXE’s Scandinavian Suite #UofS, RUH, Broadway",1 queen bed,www.airbnb.ca/rooms/53462491?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-05&check_out=2023-09-10&source_impression_id=p3_1692671788_E8MDCV1M1BxGENGf&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,157,787,2023-09-05 - 2023-09-10,5.0,62.0,2023-09-05,2023-09-10,0,0,0,0,0
Guest suite in Saskatoon,The Meglund Suites; Personal Retreat,1 queen bed,www.airbnb.ca/rooms/37396771?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-17&check_out=2023-09-22&source_impression_id=p3_1692671788_ywTRtolDNjwt7Irj&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,96,480,2023-09-17 - 2023-09-22,4.99,542.0,2023-09-17,2023-09-22,0,0,0,0,0
Bungalow in Saskatoon,The Meglund Suites; Modern Escape,2 beds,www.airbnb.ca/rooms/551458259192695167?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692671788_z66mBU%2BD1amyXEC%2B&previous_page_section_name=1000&federated_search_id=978a0d92-b835-417f-a2b7-c9942c7adba4,179,893,2023-09-03 - 2023-09-8,5.0,118.0,2023-09-03,2023-09-08,0,0,0,0,0
