listing_name,description,bed_type,rate,listing_link,date,nightly_price,total_price
Boutique hotel in Ottawa,Sonder Rideau | Superior One-Bedroom Apartment,2 beds,4.83 (541),www.airbnb.ca/rooms/766090900734631497?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_nwTyMoypYuIyLdzg&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 21 – 26,235,"1,176"
Room in Ottawa,Cozy room in a townhouse.,Stay with Williams,5.0 (8),www.airbnb.ca/rooms/655257326563847673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1687793118&check_in=2023-08-21&check_out=2023-08-28&source_impression_id=p3_1692577755_tHixEuhxS9qG%2BKYf&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 21 – 28,93,649
Condo in Gatineau,Beautiful accommodation only 19 km from Ottawa,1 bed,4.8 (181),www.airbnb.ca/rooms/51229832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-11&source_impression_id=p3_1692577755_MsG80R9viPInUZ9X&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Sep. 4 – 11,119,835
Room in Ottawa,A Bright Basement Unit with Specious Bedroom,Stay with Erica,4.91 (148),www.airbnb.ca/rooms/52091638?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1459913143&check_in=2023-08-25&check_out=2023-08-30&source_impression_id=p3_1692577755_7S4AAPrkDT0BibhE&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 25 – 30,130,649
Room in Ottawa,⭐Cozy and Simple bedroom  5mins walk to uO,Stay with Sunnie,4.59 (171),www.airbnb.ca/rooms/53130496?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1632117451&check_in=2023-09-04&check_out=2023-09-10&source_impression_id=p3_1692577755_fdiEMDoGzpuV18eG&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Sep. 4 – 10,106,634
Tiny homes in Clarence-Rockland,Cozy Tiny Home with Fire pit,1 queen bed,4.94 (80),www.airbnb.ca/rooms/683340944973181415?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_9TeZCc%2F68H%2FpWS%2Bq&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 28 – Sep. 2,146,146
Apartment in Ottawa,Modern Elegance Retreat: Stylish 1-Bedroom Suite,1 bed,New,www.airbnb.ca/rooms/752186105116240663?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-03&check_out=2023-09-08&source_impression_id=p3_1692577755_uXR%2F%2Fk%2FETfvim90r&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Sep. 3 – 8,165,826
Home in Ottawa,"Capital’s Retreat: King Suite, Smart home, WFH",2 beds,4.8 (46),www.airbnb.ca/rooms/828438556274389229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1692577755_PaT%2BKPTp4HUFmt2V&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 27 – Sep. 1,236,236
Boutique hotel in Ottawa,Sonder The O'Connor | Studio Apartment,1 queen bed,4.62 (333),www.airbnb.ca/rooms/619583284590128173?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_w6PFlvnJOoE%2BuhXb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 21 – 26,200,"1,000"
Cottage in Ottawa,The log house,4 beds,4.94 (31),www.airbnb.ca/rooms/760363291676027672?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-04&check_out=2023-09-09&source_impression_id=p3_1692577755_Y1Ehw%2FCzY5HvO3xo&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Sep. 4 – 9,694,"3,468"
Tiny homes in Clarence-Rockland,Tiny home for 2 on the Farm,1 queen bed,4.83 (47),www.airbnb.ca/rooms/750710005296114002?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1692577755_my69SQX%2FXmuw4V1n&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 28 – Sep. 2,117,583
Apartment in Ottawa,*New* Impressive Custom 3BD | Orleans 20mins 2DT,3 queen beds,5.0 (16),www.airbnb.ca/rooms/841956122298933961?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-21&check_out=2023-08-26&source_impression_id=p3_1692577755_wf%2Bebru54F3IaJkb&previous_page_section_name=1000&federated_search_id=7b0f0f2a-e2d9-4885-a814-085ed802de34,Aug. 21 – 26,375,375
